模块,改进点,对比项目,改进前,改进后,变化幅度,参数调整,导航影响
A星,双向搜索与动态权重,平均访问节点数,1489.8,1385.2,7.0%,启发权重由固定1.0调整为随搜索前沿距离变化,减少无效扩展，使远距离目标规划更快响应
A星,二十四邻域与线段安全检测,平均累计转角/rad,20.892,2.713,87.0%,邻域由8方向扩展为24方向，并启用连线碰撞检查,减少栅格折线和穿角风险，使后续DWA目标方向更稳定
A星,足迹膨胀与安全距离软代价,平均最小障碍距离/cell,1.33,2.01,51.5%,膨胀半径约0.28 m，软安全半径约0.50 m,降低贴墙规划概率，为四足机体摆动留出余量
A星,转角惩罚,显著转弯与累计转角,20.892,2.713,87.0%,转角权重由0调整为约0.08,抑制无意义小折线，减少机器人频繁微转向
A星,视线剪枝、安全圆角与重采样,平均路径点数,76.6,42.2,44.9%,剪枝安全距离约0.30 m，重采样间距约0.10 m,生成均匀参考路径，减少局部目标跳变
DWA,"速度空间由(v,w)扩展为(vx,vy,w)",平均完成时间/s,35.50,21.53,39.3%,"增加侧向速度范围[-0.26,0.26] m/s",墙角和窄通道中可用侧步避障，减少原地大角度旋转
DWA,前向偏好与侧移惩罚,侧向运动比例,0.302,0.162,46.4%,前向偏好约0.13，侧移惩罚约0.14,开阔区域优先头朝前前进，侧移主要保留给避障场景
DWA,制动距离与硬碰撞半径,平均停滞步数,0.0,0.0,0.0%,按sqrt(vx^2+vy^2)估计制动距离,减少高速接近障碍物后的被动停顿，提高局部轨迹可执行性
DWA,A星参考走廊评分,融合平均导航时间/s,35.32,27.65,21.7%,走廊宽度约0.55 m，路径跟踪权重约0.18,避免DWA短视绕行，同时允许局部避障偏离全局路径
DWA,DWA局部路径头部对齐,无效侧移与原地旋转,0.242,0.162,33.1%,对齐阈值约42 deg，前视距离约0.45 m,空间足够时先转头对齐DWA路径，再以前进为主通过
DWA,速度保持与重规划快速恢复,平均速度/(m/s),0.474,0.554,16.9%,最低巡航vx约0.34 m/s，重规划恢复窗口约1.3 s,减少多次规划后速度衰减，使实验总时间更稳定
融合,局部目标单调推进,目标跳变导致的拖延,42.92,35.32,17.7%,局部目标索引只允许沿路径前进,减少隔墙选点和路径回跳，降低原地找路径概率
融合,路径切换防抖,成功率,0.854,0.957,12.0%,比较新旧路径方向、横向偏移和局部目标跳变,避免两条差异较大的路线反复抢夺控制权
融合,受限Recovery恢复,平均Recovery次数,1.00,0.60,40.0%,仅在近障碍且无进展时触发后退-旋转-侧步,保留墙角脱困能力，同时减少开阔区域误触发
